name,region,variable,value
Mexico,North America,infant_mortality,12.3
Mexico,North America,life_expectancy,74.6
Seychelles,Africa,maternal_mortality,42
Seychelles,Africa,infant_mortality,10
Seychelles,Africa,life_expectancy,76.6
Mongolia,East and Southeast Asia,maternal_mortality,41
Mongolia,East and Southeast Asia,infant_mortality,8.6
Mongolia,East and Southeast Asia,life_expectancy,71.9
Cabo Verde,Africa,maternal_mortality,40
Cabo Verde,Africa,infant_mortality,21.9
Cabo Verde,Africa,life_expectancy,74.3
El Salvador,Central America and the Caribbean,maternal_mortality,39
El Salvador,Central America and the Caribbean,infant_mortality,10
El Salvador,Central America and the Caribbean,life_expectancy,75.9
Panama,Central America and the Caribbean,maternal_mortality,37
Panama,Central America and the Caribbean,infant_mortality,13.2
Panama,Central America and the Caribbean,life_expectancy,79.2
Dominica,Central America and the Caribbean,maternal_mortality,36
Dominica,Central America and the Caribbean,infant_mortality,10.5
Dominica,Central America and the Caribbean,life_expectancy,78.7
Tunisia,Africa,maternal_mortality,36
Tunisia,Africa,infant_mortality,10.6
Tunisia,Africa,life_expectancy,77.3
Brunei,East and Southeast Asia,maternal_mortality,36
Brunei,East and Southeast Asia,infant_mortality,9.8
Brunei,East and Southeast Asia,life_expectancy,78.9
Antigua and Barbuda,Central America and the Caribbean,maternal_mortality,35
Antigua and Barbuda,Central America and the Caribbean,infant_mortality,13.3
Antigua and Barbuda,Central America and the Caribbean,life_expectancy,78.3
Cuba,Central America and the Caribbean,maternal_mortality,35
Cuba,Central America and the Caribbean,infant_mortality,5.2
Cuba,Central America and the Caribbean,life_expectancy,80.1
Barbados,Central America and the Caribbean,maternal_mortality,35
Barbados,Central America and the Caribbean,infant_mortality,15.1
Barbados,Central America and the Caribbean,life_expectancy,79
Thailand,East and Southeast Asia,maternal_mortality,34
Thailand,East and Southeast Asia,infant_mortality,6.2
Thailand,East and Southeast Asia,life_expectancy,78.2
Argentina,South America,maternal_mortality,33
Argentina,South America,infant_mortality,7.4
Argentina,South America,life_expectancy,78.8
Maldives,South Asia,maternal_mortality,32
Maldives,South Asia,infant_mortality,23.7
Maldives,South Asia,life_expectancy,77.4
Jordan,Middle East,maternal_mortality,31
Jordan,Middle East,infant_mortality,12.9
Jordan,Middle East,life_expectancy,76.5
Fiji,Australia and Oceania,maternal_mortality,30
Fiji,Australia and Oceania,infant_mortality,9.4
Fiji,Australia and Oceania,life_expectancy,74.8
Uzbekistan,Central Asia,maternal_mortality,26
Uzbekistan,Central Asia,infant_mortality,17.6
Uzbekistan,Central Asia,life_expectancy,76.2
Malaysia,East and Southeast Asia,maternal_mortality,26
Malaysia,East and Southeast Asia,infant_mortality,6.3
Malaysia,East and Southeast Asia,life_expectancy,76.6
Costa Rica,Central America and the Caribbean,maternal_mortality,24
Costa Rica,Central America and the Caribbean,infant_mortality,6.3
Costa Rica,Central America and the Caribbean,life_expectancy,80.3
Georgia,Central Asia,maternal_mortality,20
Georgia,Central Asia,infant_mortality,20.9
Georgia,Central Asia,life_expectancy,72.8
Syria,Middle East,maternal_mortality,20
Syria,Middle East,infant_mortality,14.7
Syria,Middle East,life_expectancy,74.8
Latvia,Europe,maternal_mortality,19
Latvia,Europe,infant_mortality,2.4
Latvia,Europe,life_expectancy,76.4
Moldova,Europe,maternal_mortality,19
Moldova,Europe,infant_mortality,13.5
Moldova,Europe,life_expectancy,70.1
Armenia,Central Asia,maternal_mortality,19
Armenia,Central Asia,infant_mortality,11.3
Armenia,Central Asia,life_expectancy,76.7
Sri Lanka,South Asia,maternal_mortality,18
Sri Lanka,South Asia,infant_mortality,6.8
Sri Lanka,South Asia,life_expectancy,76.8
Azerbaijan,Central Asia,maternal_mortality,18
Azerbaijan,Central Asia,infant_mortality,10.7
Azerbaijan,Central Asia,life_expectancy,75.9
Egypt,Africa,maternal_mortality,17
Egypt,Africa,infant_mortality,16.4
Egypt,Africa,life_expectancy,75
Bahrain,Middle East,maternal_mortality,17
Bahrain,Middle East,infant_mortality,9.6
Bahrain,Middle East,life_expectancy,80.4
United States,North America,maternal_mortality,17
United States,North America,infant_mortality,5
United States,North America,life_expectancy,80.9
China,East and Southeast Asia,maternal_mortality,16
China,East and Southeast Asia,infant_mortality,6
China,East and Southeast Asia,life_expectancy,78.7
West Bank,Middle East,maternal_mortality,16
West Bank,Middle East,infant_mortality,14.2
West Bank,Middle East,life_expectancy,76.5
Gaza Strip,Middle East,maternal_mortality,16
Gaza Strip,Middle East,infant_mortality,14.2
Gaza Strip,Middle East,life_expectancy,75.5
Iran,Middle East,maternal_mortality,16
Iran,Middle East,infant_mortality,9.7
Iran,Middle East,life_expectancy,75.6
Turkey (Turkiye),Middle East,maternal_mortality,15
Turkey (Turkiye),Middle East,infant_mortality,17.9
Turkey (Turkiye),Middle East,life_expectancy,76.7
Uruguay,South America,maternal_mortality,15
Uruguay,South America,infant_mortality,6.9
Uruguay,South America,life_expectancy,78.9
Portugal,Europe,maternal_mortality,15
Portugal,Europe,infant_mortality,2.4
Portugal,Europe,life_expectancy,81.9
Ukraine,Europe,maternal_mortality,15
Ukraine,Europe,infant_mortality,8.4
Ukraine,Europe,life_expectancy,70.5
Lebanon,Middle East,maternal_mortality,15
Lebanon,Middle East,infant_mortality,7.3
Lebanon,Middle East,life_expectancy,79.2
Cyprus,Europe,maternal_mortality,14
Cyprus,Europe,infant_mortality,7.9
Cyprus,Europe,life_expectancy,80.2
Tajikistan,Central Asia,maternal_mortality,14
Tajikistan,Central Asia,infant_mortality,20.3
Tajikistan,Central Asia,life_expectancy,71.9
Oman,Middle East,maternal_mortality,13
Oman,Middle East,infant_mortality,13.6
Oman,Middle East,life_expectancy,77.4
Canada,North America,maternal_mortality,12
Canada,North America,infant_mortality,3.8
Canada,North America,life_expectancy,84.2
Romania,Europe,maternal_mortality,12
Romania,Europe,infant_mortality,5.3
Romania,Europe,life_expectancy,76.9
Luxembourg,Europe,maternal_mortality,12
Luxembourg,Europe,infant_mortality,3.1
Luxembourg,Europe,life_expectancy,83.4
Hungary,Europe,maternal_mortality,12
Hungary,Europe,infant_mortality,4.6
Hungary,Europe,life_expectancy,76
Andorra,Europe,maternal_mortality,11
Andorra,Europe,infant_mortality,3.3
Andorra,Europe,life_expectancy,83.8
Serbia,Europe,maternal_mortality,11
Serbia,Europe,infant_mortality,4.4
Serbia,Europe,life_expectancy,75.3
Puerto Rico,Central America and the Caribbean,maternal_mortality,11
Puerto Rico,Central America and the Caribbean,infant_mortality,5.7
Puerto Rico,Central America and the Caribbean,life_expectancy,82.1
Chile,South America,maternal_mortality,10
Chile,South America,infant_mortality,4.5
Chile,South America,life_expectancy,80.3
Kazakhstan,Central Asia,maternal_mortality,10
Kazakhstan,Central Asia,infant_mortality,7.9
Kazakhstan,Central Asia,life_expectancy,73.3
Russia,Central Asia,maternal_mortality,9
Russia,Central Asia,infant_mortality,6.4
Russia,Central Asia,life_expectancy,72.3
Lithuania,Europe,maternal_mortality,8
Lithuania,Europe,infant_mortality,2.5
Lithuania,Europe,life_expectancy,76.1
